raw_ticker,identifier,ark_name,ticker,cik,sec_name,resolution,evidence,observed_forms,funds,n_10k,n_10q,status
PRME,74168J101,PRIME MEDICINE INC,PRME,0001894562,"Prime Medicine, Inc.",verified,https://data.sec.gov/submissions/CIK0001894562.json,"10-K, 10-Q, 144, 3, 3/A, 4, 4/A, 424B4, 424B5, 8-A12B, 8-K, 8-K/A, ARS, CERT, CORRESP, DEF 14A, DEFA14A, DRS, DRS/A, DRSLTR, EFFECT, FWP, PRE 14A, S-1, S-1/A, S-1MEF, S-3, S-3ASR, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SEC STAFF LETTER, UPLOAD",ARKG,3,10,domestic_filer
PRNT,00214Q500,THE 3D PRINTING ETF,PRNT,,,fund_holding,Frozen holdings: fund security; outside operating-company sample,,ARKX,0,0,fund_holding
PSNL,71535D106,PERSONALIS INC,PSNL,0001527753,"Personalis, Inc.",verified,https://data.sec.gov/submissions/CIK0001527753.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B5, 8-K, ARS, CORRESP, DEF 14A, DEFA14A, EFFECT, S-3, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKG,5,15,domestic_filer
PYPL,70450Y103,PAYPAL HOLDINGS INC,PYPL,0001633917,"PayPal Holdings, Inc.",verified,https://data.sec.gov/submissions/CIK0001633917.json,"10-K, 10-Q, 144, 144/A, 3, 4, 424B2, 5, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, FWP, PX14A6G, S-3ASR, S-8, S-8 POS, SC 13D, SC 13G/A, UPLOAD",ARKF,5,15,domestic_filer
QSI,74765K105,QUANTUM-SI INC,QSI,0001816431,Quantum-Si Inc,verified,https://data.sec.gov/submissions/CIK0001816431.json,"10-K, 10-K/A, 10-Q, 10-Q/A, 144, 25-NSE, 3, 4, 424B3, 424B5, 425, 5, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, DEFR14A, EFFECT, NT 10-Q, POS AM, POS462B, PRE 14A, S-1, S-1/A, S-1MEF, S-3, S-3/A, S-4, S-4/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, UPLOAD",ARKG,5,15,domestic_filer
RBLX,771049103,ROBLOX CORP -CLASS A,RBLX,0001315098,Roblox Corp,verified,https://data.sec.gov/submissions/CIK0001315098.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B3, 424B4, 5, 8-K, 8-K/A, ARS, CERT, CORRESP, D, D/A, DEF 14A, DEFA14A, EFFECT, POS AM, PRE 14A, S-1/A, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKF|ARKW,4,15,domestic_filer
RBRK,781154109,RUBRIK INC-A,RBRK,0001943896,"Rubrik, Inc.",verified,https://data.sec.gov/submissions/CIK0001943896.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 424B4, 8-A12B, 8-K, ARS, CERT, CORRESP, DEF 14A, DEFA14A, DRS, DRS/A, DRSLTR, EFFECT, S-1, S-1/A, S-1MEF, S-8, SC 13G, SCHEDULE 13D, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SEC STAFF LETTER, UPLOAD",ARKW,1,6,domestic_filer
RKLB UQ,773121108,ROCKET LAB,RKLB,0001819994,Rocket Lab Corp,verified,https://data.sec.gov/submissions/CIK0001819994.json,"10-K, 10-K/A, 10-Q, 144, 15-12G, 25-NSE, 3, 3/A, 4, 4/A, 424B3, 424B5, 424B7, 425, 8-K, 8-K/A, 8-K12B, ARS, CORRESP, DEF 14A, DEFA14A, DRS, EFFECT, NT 10-K, NT 10-Q, POS AM, POSASR, PRE 14A, S-1, S-1/A, S-3ASR, S-4, S-4/A, S-8, S-8 POS, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, UPLOAD",ARKK|ARKQ|ARKX,5,15,domestic_filer
ROKU,77543R102,ROKU INC,ROKU,0001428439,"ROKU, INC",verified,https://data.sec.gov/submissions/CIK0001428439.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B5, 8-K, 8-K/A, ARS, DEF 14A, DEFA14A, S-3ASR, S-8, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD",ARKF,5,15,domestic_filer
RXRX,75629V104,RECURSION PHARMACEUTICALS-A,RXRX,0001601830,"RECURSION PHARMACEUTICALS, INC.",verified,https://data.sec.gov/submissions/CIK0001601830.json,"10-K, 10-Q, 144, 144/A, 3, 3/A, 4, 4/A, 424B3, 424B4, 424B5, 424B7, 8-A12B, 8-K, 8-K/A, ARS, CERT, CORRESP, DEF 14A, DEFA14A, DEFM14A, DRS, DRS/A, DRSLTR, EFFECT, PREM14A, S-1, S-1/A, S-1MEF, S-3ASR, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G/A, SEC STAFF LETTER, UPLOAD",ARKG|ARKK,4,15,domestic_filer
SCTX,811033109,SCRIBE THERAPEUTICS INC,SCTX,0001853921,"Scribe Therapeutics, Inc.",verified,https://data.sec.gov/submissions/CIK0001853921.json,D,ARKG,0,0,no_10x_filings
SDGR,80810D103,SCHRODINGER INC,SDGR,0001490978,"Schrodinger, Inc.",verified,https://data.sec.gov/submissions/CIK0001490978.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B5, 5, 8-K, 8-K/A, ARS, DEF 14A, DEFA14A, PRE 14A, S-3ASR, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKG,5,15,domestic_filer
SE,81141R100,SEA LTD-ADR,SE,0001703399,Sea Ltd,verified,https://data.sec.gov/submissions/CIK0001703399.json,"144, 144/A, 20-F, 424B5, 6-K, CORRESP, CT ORDER, F-3ASR, FWP, S-8, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G, UPLOAD",ARKF,0,0,no_10x_filings
SHOP,82509L107,SHOPIFY INC - CLASS A,SHOP,0001594805,SHOPIFY INC.,verified,https://data.sec.gov/submissions/CIK0001594805.json,"10-K, 10-K/A, 10-Q, 144, 25, 3, 4, 40-F, 6-K, 6-K/A, 8-A12B, 8-K, CERT, CORRESP, F-10, F-X, S-8, S-8 POS, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, SUPPL, UPLOAD",ARKF|ARKK|ARKW,1,3,domestic_filer
SLMT,G13311116,BRERA HOLDINGS PLC-CL B,SLMT,0001939965,Brera Holdings PLC,verified,https://data.sec.gov/submissions/CIK0001939965.json,"20-F, 20-F/A, 424B3, 424B4, 424B5, 6-K, 8-A12B, CERT, CORRESP, D, DRS, DRS/A, DRSLTR, EFFECT, F-1, F-1/A, F-3, F-3ASR, NT 20-F, POS AM, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D, SCHEDULE 13D/A, SCHEDULE 13G, UPLOAD",ARKF,0,0,no_10x_filings
SNOW,833445109,SNOWFLAKE INC,SNOW,0001640147,Snowflake Inc.,verified,https://data.sec.gov/submissions/CIK0001640147.json,"10-K, 10-Q, 144, 144/A, 3, 3/A, 4, 4/A, 5, 8-K, ARS, D, DEF 14A, DEFA14A, PRE 14A, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKW,5,15,domestic_filer
SNPS,871607107,SYNOPSYS INC,SNPS,0000883241,SYNOPSYS INC,verified,https://data.sec.gov/submissions/CIK0000883241.json,"10-K, 10-Q, 144, 3, 4, 424B3, 424B5, 425, 8-K, 8-K/A, ARS, CORRESP, D, DEF 14A, DEFA14A, EFFECT, FWP, PX14A6G, S-3ASR, S-4, S-4/A, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, UPLOAD",ARKQ|ARKX,5,15,domestic_filer
SOFI,83406F102,SOFI TECHNOLOGIES INC,SOFI,0001818874,"SoFi Technologies, Inc.",verified,https://data.sec.gov/submissions/CIK0001818874.json,"10-K, 10-K/A, 10-Q, 144, 144/A, 25, 25-NSE, 3, 3/A, 4, 4/A, 424B3, 425, 8-A12B, 8-K, 8-K/A, ARS, CERT, CORRESP, D, DEF 14A, DEFA14A, EFFECT, FWP, NT 10-Q, POS AM, PRE 14A, S-1, S-1/A, S-3, S-3ASR, S-4, S-4/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKF|ARKK,5,15,domestic_filer
SOLQ/U,BTRDQ40,3IQ SOLANA STAKING ETF,SOLQ/U,,,fund_holding,Frozen holdings: fund security; outside operating-company sample,,ARKF|ARKW,0,0,fund_holding
SPCX,84615Q103,SPACE EXPLORATION TECHN-CL A,SPCX,0001181412,SPACE EXPLORATION TECHNOLOGIES CORP,verified,https://data.sec.gov/submissions/CIK0001181412.json,"D, D/A",ARKK|ARKQ|ARKW,0,0,no_10x_filings
SPOT,L8681T102,SPOTIFY TECHNOLOGY SA,SPOT,0001639920,Spotify Technology S.A.,verified,https://data.sec.gov/submissions/CIK0001639920.json,"144, 144/A, 20-F, 6-K, S-8, S-8 POS, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKF|ARKW,0,0,no_10x_filings
SRTA,092667104,STRATA CRITICAL MEDICAL INC,SRTA,0001779128,"Strata Critical Medical, Inc.",verified,https://data.sec.gov/submissions/CIK0001779128.json,"10-K, 10-K/A, 10-Q, 10-QT, 144, 25-NSE, 3, 3/A, 4, 4/A, 424B3, 425, 8-K, 8-K/A, CORRESP, DEF 14A, DEFA14A, EFFECT, NT 10-Q, POS AM, S-1, S-4, S-4/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKX,5,14,domestic_filer
SYM UQ,87151X101,SYMBOTIC INC,SYM,0001837240,Symbotic Inc.,verified,https://data.sec.gov/submissions/CIK0001837240.json,"10-K, 10-Q, 10-Q/A, 144, 144/A, 3, 4, 4/A, 424B3, 424B4, 424B5, 425, 8-A12B, 8-K, 8-K/A, ARS, CERT, CORRESP, CT ORDER, DEF 14A, DEFA14A, EFFECT, NT 10-K, POS AM, S-1, S-1/A, S-3, S-3/A, S-3ASR, S-4, S-4/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKQ,5,14,domestic_filer
TDY,879360105,TELEDYNE TECHNOLOGIES INC,TDY,0001094285,TELEDYNE TECHNOLOGIES INC,verified,https://data.sec.gov/submissions/CIK0001094285.json,"10-K, 10-Q, 11-K, 144, 144/A, 3, 4, 424B3, 424B5, 425, 5, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, DEFM14A, EFFECT, FWP, PRE 14A, PX14A6G, S-3ASR, S-4, S-4/A, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD, UPLOAD",ARKQ|ARKX,5,15,domestic_filer
TEM,88023B103,TEMPUS AI INC-CL A,TEM,0001717115,"Tempus AI, Inc.",verified,https://data.sec.gov/submissions/CIK0001717115.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B3, 424B4, 424B7, 8-A12B, 8-K, ARS, CERT, CORRESP, D, DEF 14A, DEF 14C, DEFA14A, DRS, DRS/A, DRSLTR, EFFECT, PRE 14A, PRE 14C, S-1, S-1/A, S-3ASR, S-8, S-8 POS, SC 13D, SC 13D/A, SC 13G, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKG|ARKK,1,5,domestic_filer
TER,880770102,TERADYNE INC,TER,0000097210,"TERADYNE, INC",verified,https://data.sec.gov/submissions/CIK0000097210.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 5, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, PRE 14A, S-8, S-8 POS, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD, UPLOAD",ARKK|ARKQ|ARKX,5,15,domestic_filer
TOST,888787108,TOAST INC-CLASS A,TOST,0001650164,"Toast, Inc.",verified,https://data.sec.gov/submissions/CIK0001650164.json,"10-K, 10-Q, 144, 3, 3/A, 4, 424B4, 5, 8-A12B, 8-K, ARS, CERT, CORRESP, DEF 14A, DEFA14A, DRS, DRS/A, DRSLTR, EFFECT, PRE 14A, S-1, S-1/A, S-8, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD, SEC STAFF LETTER, UPLOAD",ARKF|ARKW,4,13,domestic_filer
TRMB,896239100,TRIMBLE INC,TRMB,0000864749,TRIMBLE INC.,verified,https://data.sec.gov/submissions/CIK0000864749.json,"10-K, 10-K/A, 10-Q, 144, 144/A, 3, 4, 4/A, 424B5, 5, 8-K, 8-K/A, ARS, DEF 14A, DEFA14A, FWP, NT 10-K, NT 10-Q, S-3ASR, S-8, S-8 POS, SC 13G/A, SCHEDULE 13G, SD",ARKQ|ARKX,5,15,domestic_filer
TSLA,88160R101,TESLA INC,TSLA,0001318605,"Tesla, Inc.",verified,https://data.sec.gov/submissions/CIK0001318605.json,"10-K, 10-K/A, 10-Q, 144, 3, 4, 4/A, 5, 5/A, 8-K, 8-K/A, ARS, CORRESP, CT ORDER, DEF 14A, DEFA14A, PRE 14A, PX14A6G, PX14A6N, S-8, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD, UPLOAD",ARKK|ARKQ|ARKW,5,15,domestic_filer
TSM,874039100,TAIWAN SEMICONDUCTOR-SP ADR,TSM,0001046179,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,verified,https://data.sec.gov/submissions/CIK0001046179.json,"20-F, 424B2, 424B5, 6-K, 6-K/A, F-3ASR, FWP, S-8, SC 13G, SC 13G/A, SCHEDULE 13G/A, SD",ARKK|ARKQ|ARKW|ARKX,0,0,no_10x_filings
TWST,90184D100,TWIST BIOSCIENCE CORP,TWST,0001581280,Twist Bioscience Corp,verified,https://data.sec.gov/submissions/CIK0001581280.json,"10-K, 10-K/A, 10-Q, 144, 144/A, 3, 4, 4/A, 424B5, 424B7, 8-K, 8-K/A, ARS, DEF 14A, PRE 14A, S-3ASR, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKG|ARKK,5,15,domestic_filer
TXG,88025U109,10X GENOMICS INC-CLASS A,TXG,0001770787,"10x Genomics, Inc.",verified,https://data.sec.gov/submissions/CIK0001770787.json,"10-K, 10-K/A, 10-Q, 144, 3, 4, 5, 8-K, DEF 14A, DEFA14A, PRE 14A, S-8, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKG|ARKK,5,15,domestic_filer
VCYT,92337F107,VERACYTE INC,VCYT,0001384101,"VERACYTE, INC.",verified,https://data.sec.gov/submissions/CIK0001384101.json,"10-K, 10-Q, 144, 3, 4, 4/A, 424B5, 424B7, 425, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, PRE 14A, S-3ASR, S-8, S-8 POS, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKG|ARKK,5,15,domestic_filer
WGS,81663L200,GENEDX HOLDINGS CORP,WGS,0001818331,GeneDx Holdings Corp.,verified,https://data.sec.gov/submissions/CIK0001818331.json,"10-K, 10-K/A, 10-Q, 144, 144/A, 25-NSE, 3, 4, 4/A, 424B3, 424B5, 425, 5, 8-K, 8-K/A, ARS, CORRESP, DEF 14A, DEFA14A, DEFM14A, EFFECT, NT 10-Q, POS AM, POS EX, PRE 14A, PREM14A, PRER14A, S-1, S-3, S-3ASR, S-8, S-8 POS, SC 13D, SC 13D/A, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, UPLOAD",ARKG|ARKK,5,15,domestic_filer
WRD,950915108,WERIDE INC-ADR,WRD,0001867729,WeRide Inc.,verified,https://data.sec.gov/submissions/CIK0001867729.json,"20-F, 424B4, 424B5, 6-K, 8-A12B, CERT, CORRESP, DRS, DRS/A, DRSLTR, EFFECT, F-1, F-1/A, F-1MEF, F-3ASR, F-6, FWP, RW, S-8, SC 13D, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A, SEC STAFF LETTER, UPLOAD",ARKQ,0,0,no_10x_filings
XE,98386P102,X-ENERGY INC,XE,0002088896,"X-Energy, Inc.",verified,https://data.sec.gov/submissions/CIK0002088896.json,DRS,ARKK|ARKQ,0,0,no_10x_filings
XYZ,852234103,BLOCK INC,XYZ,0001512673,"Block, Inc.",verified,https://data.sec.gov/submissions/CIK0001512673.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 425, 8-K, 8-K/A, ARS, CORRESP, D, DEF 14A, DEFA14A, DEFM14A, PREM14A, PX14A6G, S-8, SC 13G, SC 13G/A, SCHEDULE 13G, SCHEDULE 13G/A, SD, UPLOAD",ARKF|ARKK|ARKW,5,15,domestic_filer
Z,98954M200,ZILLOW GROUP INC - C,Z,0001617640,"ZILLOW GROUP, INC.",verified,https://data.sec.gov/submissions/CIK0001617640.json,"10-K, 10-Q, 144, 144/A, 3, 4, 4/A, 424B5, 5, 8-K, ARS, D, DEF 14A, DEFA14A, S-3ASR, S-8, SC 13G, SC 13G/A, SCHEDULE 13D/A, SCHEDULE 13G, SCHEDULE 13G/A",ARKF,5,15,domestic_filer
